iter	Passed	Remaining
0	12	12218
1	24	12101
2	41	13787
3	52	13062
4	63	12609
5	74	12314
6	85	12165
7	96	11992
8	107	11847
9	118	11744
10	129	11686
11	140	11590
12	152	11558
13	164	11563
14	175	11498
15	186	11488
16	198	11458
17	208	11399
18	219	11354
19	231	11332
20	241	11278
21	253	11270
22	264	11243
23	276	11251
24	289	11290
25	300	11255
26	311	11241
27	323	11235
28	333	11178
29	344	11140
30	356	11135
31	368	11144
32	379	11108
33	389	11077
34	401	11056
35	412	11037
36	423	11013
37	436	11041
38	447	11015
39	457	10972
40	467	10939
41	478	10903
42	487	10857
43	498	10836
44	508	10801
45	519	10766
46	530	10754
47	540	10727
48	550	10692
49	560	10654
50	571	10632
51	581	10601
52	591	10573
53	601	10539
54	611	10510
55	621	10474
56	631	10448
57	641	10425
58	652	10399
59	662	10384
60	672	10357
61	682	10330
62	692	10304
63	702	10278
64	712	10253
65	722	10227
66	732	10204
67	742	10177
68	752	10151
69	762	10126
70	772	10106
71	782	10081
72	792	10063
73	802	10040
74	812	10018
75	822	10000
76	832	9982
77	843	9964
78	853	9948
79	864	9939
80	876	9948
81	888	9941
82	898	9921
83	907	9901
84	917	9880
85	927	9860
86	937	9841
87	947	9820
88	958	9807
89	967	9786
90	977	9764
91	987	9746
92	997	9726
93	1007	9708
94	1017	9689
95	1027	9675
96	1037	9657
97	1047	9645
98	1058	9629
99	1068	9616
100	1078	9600
101	1088	9584
102	1099	9573
103	1109	9559
104	1119	9543
105	1129	9526
106	1139	9509
107	1149	9492
108	1159	9477
109	1169	9459
110	1179	9442
111	1189	9429
112	1200	9420
113	1210	9407
114	1220	9394
115	1231	9381
116	1241	9368
117	1251	9357
118	1262	9350
119	1272	9335
120	1282	9320
121	1293	9305
122	1302	9289
123	1313	9279
124	1323	9265
125	1333	9249
126	1343	9235
127	1353	9223
128	1363	9207
129	1373	9192
130	1383	9179
131	1403	9228
132	1413	9216
133	1424	9203
134	1434	9188
135	1444	9177
136	1468	9250
137	1478	9235
138	1488	9219
139	1498	9204
140	1508	9188
141	1518	9173
142	1528	9158
143	1537	9142
144	1547	9126
145	1557	9110
146	1567	9096
147	1578	9084
148	1588	9070
149	1598	9058
150	1608	9046
151	1619	9032
152	1629	9018
153	1639	9003
154	1649	8991
155	1659	8980
156	1671	8975
157	1681	8960
158	1691	8947
159	1702	8937
160	1712	8923
161	1722	8912
162	1733	8899
163	1743	8885
164	1753	8871
165	1763	8858
166	1773	8844
167	1783	8830
168	1792	8815
169	1802	8801
170	1812	8788
171	1823	8778
172	1833	8764
173	1843	8750
174	1853	8737
175	1864	8728
176	1875	8718
177	1885	8705
178	1895	8694
179	1905	8681
180	1915	8668
181	1926	8656
182	1936	8644
183	1946	8630
184	1956	8617
185	1966	8604
186	1975	8590
187	1990	8596
188	2000	8582
189	2010	8569
190	2020	8556
191	2029	8542
192	2040	8531
193	2050	8517
194	2060	8504
195	2073	8505
196	2083	8492
197	2093	8479
198	2103	8466
199	2113	8453
200	2123	8441
201	2133	8427
202	2142	8413
203	2153	8402
204	2163	8388
205	2172	8374
206	2182	8361
207	2193	8352
208	2203	8339
209	2213	8325
210	2222	8312
211	2232	8298
212	2242	8286
213	2252	8273
214	2262	8259
215	2272	8247
216	2282	8236
217	2292	8223
218	2302	8211
219	2312	8200
220	2322	8187
221	2332	8175
222	2342	8163
223	2352	8150
224	2362	8137
225	2372	8124
226	2381	8111
227	2391	8098
228	2401	8085
229	2411	8074
230	2421	8061
231	2431	8049
232	2441	8036
233	2450	8023
234	2460	8010
235	2470	7998
236	2480	7986
237	2490	7973
238	2500	7961
239	2510	7948
240	2520	7936
241	2530	7925
242	2539	7912
243	2549	7900
244	2559	7888
245	2569	7875
246	2579	7865
247	2589	7853
248	2599	7840
249	2609	7828
250	2619	7816
251	2628	7803
252	2638	7790
253	2648	7778
254	2658	7766
255	2667	7753
256	2678	7742
257	2688	7730
258	2698	7719
259	2708	7708
260	2719	7698
261	2729	7687
262	2739	7675
263	2749	7664
264	2758	7651
265	2768	7640
266	2778	7628
267	2788	7616
268	2798	7604
269	2808	7592
270	2818	7580
271	2827	7568
272	2837	7556
273	2847	7544
274	2857	7532
275	2867	7521
276	2877	7509
277	2887	7499
278	2898	7489
279	2907	7477
280	2917	7465
281	2927	7453
282	2937	7442
283	2947	7430
284	2957	7419
285	2967	7407
286	2976	7395
287	2987	7384
288	2996	7372
289	3006	7361
290	3016	7349
291	3026	7337
292	3036	7327
293	3046	7315
294	3056	7303
295	3065	7291
296	3075	7279
297	3085	7268
298	3095	7256
299	3105	7245
300	3115	7233
301	3125	7224
302	3136	7214
303	3146	7203
304	3155	7191
305	3166	7180
306	3176	7169
307	3186	7158
308	3196	7148
309	3206	7137
310	3216	7126
311	3226	7115
312	3236	7103
313	3246	7092
314	3256	7080
315	3266	7069
316	3275	7058
317	3285	7046
318	3295	7035
319	3305	7025
320	3316	7014
321	3325	7002
322	3335	6991
323	3346	6981
324	3355	6970
325	3366	6959
326	3376	6948
327	3386	6938
328	3396	6927
329	3406	6916
330	3416	6905
331	3426	6894
332	3436	6882
333	3446	6871
334	3456	6860
335	3466	6849
336	3476	6838
337	3487	6830
338	3497	6819
339	3507	6809
340	3517	6798
341	3527	6787
342	3538	6778
343	3548	6767
344	3558	6756
345	3568	6745
346	3579	6735
347	3589	6724
348	3598	6713
349	3608	6701
350	3618	6690
351	3628	6679
352	3638	6668
353	3648	6658
354	3658	6647
355	3668	6636
356	3678	6625
357	3688	6614
358	3698	6603
359	3708	6592
360	3718	6582
361	3728	6571
362	3738	6560
363	3748	6549
364	3758	6538
365	3768	6528
366	3778	6517
367	3788	6507
368	3799	6496
369	3810	6488
370	3820	6477
371	3831	6467
372	3841	6457
373	3851	6446
374	3862	6437
375	3877	6434
376	4046	6686
377	4056	6674
378	4066	6663
379	4076	6651
380	4087	6640
381	4097	6629
382	4107	6617
383	4118	6606
384	4128	6595
385	4139	6585
386	4150	6573
387	4159	6561
388	4170	6550
389	4180	6538
390	4189	6525
391	4200	6515
392	4210	6503
393	4220	6490
394	4230	6479
395	4240	6467
396	4250	6455
397	4261	6445
398	4271	6433
399	4281	6421
400	4290	6409
401	4300	6397
402	4310	6386
403	4321	6375
404	4331	6364
405	4341	6351
406	4351	6339
407	4361	6327
408	4370	6315
409	4380	6304
410	4390	6292
411	4400	6280
412	4410	6269
413	4423	6261
414	4435	6252
415	4446	6242
416	4457	6232
417	4468	6221
418	4478	6209
419	4488	6198
420	4499	6188
421	4510	6178
422	4608	6286
423	4625	6283
424	4637	6274
425	4647	6262
426	4658	6250
427	4668	6239
428	4678	6227
429	4688	6214
430	4698	6202
431	4708	6190
432	4718	6178
433	4727	6165
434	4737	6153
435	4747	6141
436	4757	6129
437	4769	6119
438	4779	6107
439	4789	6095
440	4799	6083
441	4808	6071
442	4818	6058
443	4828	6046
444	4838	6035
445	4848	6023
446	4859	6011
447	4869	5999
448	4879	5988
449	4889	5976
450	4899	5964
451	4909	5952
452	4919	5940
453	4930	5929
454	4940	5917
455	4950	5906
456	4960	5894
457	4970	5882
458	4980	5870
459	4991	5859
460	5004	5851
461	5034	5862
462	5074	5885
463	5086	5875
464	5097	5864
465	5107	5853
466	5119	5842
467	5136	5838
468	5147	5827
469	5159	5817
470	5170	5807
471	5183	5798
472	5196	5789
473	5214	5786
474	5225	5775
475	5957	6558
476	5967	6543
477	5977	6528
478	5987	6512
479	5997	6497
480	6007	6482
481	6017	6467
482	6027	6452
483	6037	6436
484	6047	6421
485	6057	6406
486	6067	6391
487	6077	6376
488	6087	6361
489	6097	6346
490	6107	6331
491	6117	6316
492	6127	6301
493	6138	6287
494	6149	6273
495	6159	6258
496	6169	6243
497	6179	6229
498	6189	6214
499	6199	6199
500	6210	6185
501	6220	6170
502	6232	6157
503	6242	6143
504	6252	6128
505	6267	6118
506	6277	6104
507	6288	6090
508	6299	6076
509	6310	6062
510	6321	6049
511	6335	6038
512	6352	6030
513	6362	6016
514	6374	6003
515	6458	6057
516	6471	6046
517	6483	6032
518	6494	6018
519	6506	6006
520	6518	5992
521	6529	5979
522	6542	5966
523	6542	5966
524	6552	5940
525	6562	5925
526	6572	5910
527	6582	5895
528	6592	5880
529	6602	5865
530	6612	5851
531	6621	5836
532	6632	5821
533	6644	5808
534	6656	5796
535	7556	6553
536	7566	6535
537	7576	6518
538	7585	6500
539	7596	6482
540	7606	6465
541	7616	6447
542	7626	6430
543	7635	6412
544	7645	6394
545	7655	6376
546	7665	6359
547	7675	6342
548	7685	6324
549	7694	6307
550	7704	6289
551	7714	6272
552	7725	6255
553	7735	6238
554	7745	6221
555	7754	6203
556	7764	6186
557	7775	6169
558	7785	6152
559	7795	6135
560	7804	6118
561	7814	6101
562	7824	6084
563	7833	6066
564	7843	6049
565	7853	6032
566	7863	6015
567	7873	5998
568	7882	5981
569	7892	5964
570	7902	5947
571	7912	5930
572	7922	5914
573	7932	5897
574	7941	5880
575	7952	5863
576	7962	5847
577	7972	5830
578	7983	5814
579	7993	5798
580	8002	5781
581	8013	5764
582	8023	5748
583	8033	5732
584	8042	5715
585	8052	5698
586	8062	5682
587	8072	5665
588	8082	5649
589	8092	5633
590	8102	5616
591	8112	5600
592	8122	5584
593	8132	5568
594	8142	5552
595	8153	5536
596	8163	5520
597	8173	5503
598	8184	5487
599	8194	5472
600	8205	5456
601	8215	5440
602	8225	5424
603	8235	5408
604	8245	5392
605	8256	5376
606	8267	5361
607	8278	5346
608	8288	5330
609	8299	5314
610	8309	5298
611	8319	5283
612	8329	5267
613	8339	5251
614	8350	5235
615	8360	5220
616	8371	5204
617	8381	5189
618	8391	5173
619	8401	5157
620	8411	5142
621	8421	5126
622	8431	5110
623	8441	5094
624	8451	5079
625	8461	5063
626	8472	5048
627	8481	5032
628	8492	5016
629	8502	5001
630	8512	4985
631	8522	4970
632	8534	4955
633	8961	5181
634	8972	5165
635	8982	5149
636	8993	5132
637	9003	5116
638	9013	5100
639	9024	5084
640	9035	5068
641	9046	5052
642	9056	5036
643	9068	5020
644	9078	5004
645	9088	4988
646	9099	4972
647	9110	4956
648	9120	4940
649	9130	4924
650	9141	4908
651	9152	4892
652	9163	4876
653	9175	4861
654	9186	4846
655	9197	4830
656	9206	4813
657	9217	4797
658	9227	4781
659	9237	4766
660	9248	4750
661	9259	4734
662	9270	4719
663	9280	4703
664	9290	4687
665	9301	4671
666	9311	4655
667	9321	4640
668	9331	4624
669	9342	4608
670	9352	4592
671	9362	4576
672	9372	4560
673	9382	4544
674	9392	4529
675	9402	4513
676	9412	4497
677	9422	4481
678	9432	4465
679	9441	4449
680	9451	4433
681	9461	4418
682	9471	4402
683	9481	4386
684	9491	4371
685	9501	4355
686	9510	4339
687	9520	4323
688	9530	4308
689	9540	4292
690	9550	4276
691	9560	4261
692	9570	4245
